hour,actual,mean,lower,upper
0,0.52657,0.51861,0.33218,0.70503
1,0.53075,0.53632,0.34990,0.72275
2,0.54731,0.53818,0.35175,0.72461
3,0.59454,0.57999,0.39356,0.76641
4,0.70087,0.66292,0.47649,0.84935
5,0.75836,0.71402,0.52759,0.90045
6,0.79311,0.75944,0.57301,0.94587
7,0.80107,0.77425,0.58782,0.96068
8,0.82004,0.78868,0.60225,0.97511
9,0.84014,0.80553,0.61910,0.99196
10,0.84112,0.80725,0.62083,0.99368
11,0.82918,0.80382,0.61739,0.99025
12,0.81049,0.77976,0.59333,0.96619
13,0.79508,0.77211,0.58568,0.95853
14,0.77302,0.76831,0.58188,0.95474
15,0.77360,0.75791,0.57148,0.94434
16,0.76972,0.74307,0.55664,0.92950
17,0.75584,0.74444,0.55801,0.93087
18,0.74612,0.72651,0.54008,0.91294
19,0.70833,0.69814,0.51171,0.88457
20,0.65098,0.66388,0.47746,0.85031
21,0.59868,0.61121,0.42478,0.79763
22,0.56652,0.56516,0.37873,0.75159
23,0.54137,0.55026,0.36384,0.73669
